market,theme,raw_hits,total_words,freq_per_1000_words
UK (NICE),Immature / extrapolated survival data,40,7742,5.17
UK (NICE),Surrogate endpoint validity (PFS→OS),6,7742,0.77
UK (NICE),Comparator selection / composition disputes,53,7742,6.85
UK (NICE),Population / trial generalizability,27,7742,3.49
UK (NICE),Utility / quality-of-life value uncertainty,59,7742,7.62
UK (NICE),Subgroup / small sample uncertainty,15,7742,1.94
UK (NICE),Structural / model assumption uncertainty,33,7742,4.26
UK (NICE),Price / cost-effectiveness threshold ambiguity,19,7742,2.45
US (academic CEA),Immature / extrapolated survival data,4,2082,1.92
US (academic CEA),Surrogate endpoint validity (PFS→OS),0,2082,0.0
US (academic CEA),Comparator selection / composition disputes,15,2082,7.2
US (academic CEA),Population / trial generalizability,4,2082,1.92
US (academic CEA),Utility / quality-of-life value uncertainty,6,2082,2.88
US (academic CEA),Subgroup / small sample uncertainty,19,2082,9.13
US (academic CEA),Structural / model assumption uncertainty,7,2082,3.36
US (academic CEA),Price / cost-effectiveness threshold ambiguity,21,2082,10.09
